Código Paquete,Código SMT,Repartidor Asignado,Tiempo de entrega
47807560,953926718293,Daniel Rodriguez,105
47394239,956283479512,Ana Perez,140
47010171,958476318524,Matias Orellana,160
47807561,960743927615,Matias Orellana,180
47394240,963017124835,Daniel Rodriguez,110
47010172,965341092764,Ana Perez,130
47807562,967628743025,Miguel Araya,115
47394241,969982618432,Edgardo Ortiz,125
47010173,972352418595,Matias Orellana,140
47807563,974687632015,Miguel Araya,170
47394242,977092384729,Ana Perez,155
47010174,979375690342,Matias Orellana,145
47807564,981686924138,Edgardo Ortiz,110
47394243,984097618247,Daniel Rodriguez,165
47010175,986387527581,Matias Orellana,185
47807565,988643296247,Miguel Araya,200
